package,version,declared_license,scope
aria-query,5.3.2,Apache-2.0,development
array-buffer-byte-length,1.0.2,MIT,development
array-includes,3.1.9,MIT,development
array.prototype.findlast,1.2.5,MIT,development
array.prototype.findlastindex,1.2.6,MIT,development
array.prototype.flat,1.3.3,MIT,development
array.prototype.flatmap,1.3.3,MIT,development
array.prototype.tosorted,1.1.4,MIT,development
arraybuffer.prototype.slice,1.0.4,MIT,development
ast-types-flow,0.0.8,MIT,development
async-function,1.0.0,MIT,development
available-typed-arrays,1.0.7,MIT,development
axe-core,4.11.4,MPL-2.0,development
axobject-query,4.1.0,Apache-2.0,development
balanced-match,1.0.2,MIT,development
balanced-match,4.0.4,MIT,development
base64-js,0.0.8,MIT,development
baseline-browser-mapping,2.10.30,Apache-2.0,runtime
blake3-wasm,2.1.5,MIT,development
brace-expansion,1.1.14,MIT,development
brace-expansion,5.0.6,MIT,development
braces,3.0.3,MIT,development
browserslist,4.28.2,MIT,development
buffer-from,1.1.2,MIT,development
call-bind,1.0.9,MIT,development
call-bind-apply-helpers,1.0.2,MIT,development
call-bound,1.0.4,MIT,development
callsites,3.1.0,MIT,development
camelize,1.0.1,MIT,development
caniuse-lite,1.0.30001793,CC-BY-4.0,runtime
chalk,4.1.2,MIT,development
chrome-trace-event,1.0.4,MIT,development
class-variance-authority,0.7.1,Apache-2.0,runtime
client-only,0.0.1,MIT,runtime
clsx,2.1.1,MIT,runtime
cmdk,1.1.1,MIT,runtime
color-convert,2.0.1,MIT,development
color-name,1.1.4,MIT,development
commander,2.20.3,MIT,development
concat-map,0.0.1,MIT,development
convert-source-map,2.0.0,MIT,development
cookie,1.1.1,MIT,development
cross-spawn,7.0.6,MIT,development
css-background-parser,0.1.0,MIT,development
css-box-shadow,1.0.0-3,MIT,development
css-color-keywords,1.0.0,ISC,development
css-gradient-parser,0.0.16,MIT,development
css-to-react-native,3.2.0,MIT,development
csstype,3.2.3,MIT,runtime
d3-array,3.2.4,ISC,runtime
d3-color,3.1.0,ISC,runtime
d3-ease,3.0.1,BSD-3-Clause,runtime
d3-format,3.1.2,ISC,runtime
d3-interpolate,3.0.1,ISC,runtime
d3-path,3.1.0,ISC,runtime
d3-scale,4.0.2,ISC,runtime
d3-shape,3.2.0,ISC,runtime
d3-time,3.1.0,ISC,runtime
d3-time-format,4.1.0,ISC,runtime
d3-timer,3.0.1,ISC,runtime
damerau-levenshtein,1.0.8,BSD-2-Clause,development
data-view-buffer,1.0.2,MIT,development
data-view-byte-length,1.0.2,MIT,development
data-view-byte-offset,1.0.1,MIT,development
date-fns,4.4.0,MIT,runtime
debug,3.2.7,MIT,development
debug,3.2.7,MIT,development
debug,3.2.7,MIT,development
debug,4.4.3,MIT,development
decimal.js-light,2.5.1,MIT,runtime
deep-is,0.1.4,MIT,development
define-data-property,1.1.4,MIT,development
define-properties,1.2.1,MIT,development
detect-libc,2.1.2,Apache-2.0,runtime
detect-node-es,1.1.0,MIT,runtime
doctrine,2.1.0,Apache-2.0,development
drizzle-kit,0.31.10,MIT,development
drizzle-orm,0.45.2,Apache-2.0,runtime
dunder-proto,1.0.1,MIT,development
electron-to-chromium,1.5.358,ISC,development
embla-carousel,8.6.0,MIT,runtime
embla-carousel-react,8.6.0,MIT,runtime
embla-carousel-reactive-utils,8.6.0,MIT,runtime
emoji-regex,9.2.2,MIT,development
emoji-regex-xs,2.0.1,MIT,development
enhanced-resolve,5.21.3,MIT,development
error-stack-parser-es,1.0.5,MIT,development
es-abstract,1.24.2,MIT,development
es-define-property,1.0.1,MIT,development
es-errors,1.3.0,MIT,development
es-iterator-helpers,1.3.2,MIT,development
es-module-lexer,1.7.0,MIT,development
es-module-lexer,2.1.0,MIT,development
es-object-atoms,1.1.1,MIT,development
es-set-tostringtag,2.1.0,MIT,development
es-shim-unscopables,1.1.0,MIT,development
es-to-primitive,1.3.0,MIT,development
es-toolkit,1.50.0,MIT,runtime
esbuild,0.18.20,MIT,development
esbuild,0.25.12,MIT,development
esbuild,0.27.3,MIT,development
esbuild,0.28.0,MIT,development
escalade,3.2.0,MIT,development
escape-html,1.0.3,MIT,development
escape-string-regexp,4.0.0,MIT,development
eslint,9.39.4,MIT,development
eslint-config-next,16.3.4,MIT,development
eslint-import-resolver-node,0.3.10,MIT,development
eslint-import-resolver-typescript,3.10.1,ISC,development
eslint-module-utils,2.12.1,MIT,development
eslint-plugin-import,2.32.0,MIT,development
eslint-plugin-jsx-a11y,6.10.2,MIT,development
eslint-plugin-react,7.37.5,MIT,development
eslint-plugin-react-hooks,7.1.1,MIT,development
eslint-scope,5.1.1,BSD-2-Clause,development
eslint-scope,8.4.0,BSD-2-Clause,development
eslint-visitor-keys,3.4.3,Apache-2.0,development
eslint-visitor-keys,4.2.1,Apache-2.0,development
eslint-visitor-keys,5.0.1,Apache-2.0,development
espree,10.4.0,BSD-2-Clause,development
esquery,1.7.0,BSD-3-Clause,development
esrecurse,4.3.0,BSD-2-Clause,development
estraverse,4.3.0,BSD-2-Clause,development
estraverse,5.3.0,BSD-2-Clause,development
estree-walker,3.0.3,MIT,development
esutils,2.0.3,BSD-2-Clause,development
eventemitter3,5.0.4,MIT,runtime
events,3.3.0,MIT,development
fast-deep-equal,3.1.3,MIT,runtime
fast-glob,3.3.1,MIT,development
fast-glob,3.3.3,MIT,development
fast-json-stable-stringify,2.1.0,MIT,development
fast-levenshtein,2.0.6,MIT,development
fast-uri,3.1.7,BSD-3-Clause,runtime
fastq,1.20.1,ISC,development
fdir,6.5.0,MIT,development
fflate,0.7.4,MIT,development
file-entry-cache,8.0.0,MIT,development
fill-range,7.1.1,MIT,development
find-up,5.0.0,MIT,development
flat-cache,4.0.1,MIT,development
flatted,3.4.2,ISC,development
for-each,0.3.5,MIT,development
fsevents,2.3.3,MIT,development
function-bind,1.1.2,MIT,development
function.prototype.name,1.1.8,MIT,development
functions-have-names,1.2.3,MIT,development
generator-function,2.0.1,MIT,development
gensync,1.0.0-beta.2,MIT,development
get-intrinsic,1.3.0,MIT,development
get-nonce,1.0.1,MIT,runtime
get-proto,1.0.1,MIT,development
get-symbol-description,1.1.0,MIT,development
get-tsconfig,4.14.0,MIT,development
glob-parent,5.1.2,ISC,development
glob-parent,5.1.2,ISC,development
glob-parent,6.0.2,ISC,development
glob-to-regexp,0.4.1,BSD-2-Clause,development
globals,14.0.0,MIT,development
globals,16.4.0,MIT,development
globalthis,1.0.4,MIT,development
gopd,1.2.0,MIT,development
graceful-fs,4.2.11,ISC,development
has-bigints,1.1.0,MIT,development
has-flag,4.0.0,MIT,development
has-property-descriptors,1.0.2,MIT,development
has-proto,1.2.0,MIT,development
has-symbols,1.1.0,MIT,development
has-tostringtag,1.0.2,MIT,development
hasown,2.0.3,MIT,development
hermes-estree,0.25.1,MIT,development
hermes-parser,0.25.1,MIT,development
hex-rgb,4.3.0,MIT,development
ignore,5.3.2,MIT,development
ignore,7.0.5,MIT,development
image-size,2.0.2,MIT,development
immer,10.2.0,MIT,runtime
immer,11.1.16,MIT,runtime
import-fresh,3.3.1,MIT,development
imurmurhash,0.1.4,MIT,development
input-otp,1.4.2,MIT,runtime
internal-slot,1.1.0,MIT,development
internmap,2.0.3,ISC,runtime
ipaddr.js,2.4.0,MIT,development
is-array-buffer,3.0.5,MIT,development
is-async-function,2.1.1,MIT,development
is-bigint,1.1.0,MIT,development
is-boolean-object,1.2.2,MIT,development
is-bun-module,2.0.0,MIT,development
is-callable,1.2.7,MIT,development
is-core-module,2.16.2,MIT,development
is-data-view,1.0.2,MIT,development
is-date-object,1.1.0,MIT,development
is-extglob,2.1.1,MIT,development
is-finalizationregistry,1.1.1,MIT,development
is-generator-function,1.1.2,MIT,development
is-glob,4.0.3,MIT,development
is-map,2.0.3,MIT,development
is-negative-zero,2.0.3,MIT,development
is-number,7.0.0,MIT,development
is-number-object,1.1.1,MIT,development
is-regex,1.2.1,MIT,development
is-set,2.0.3,MIT,development
is-shared-array-buffer,1.0.4,MIT,development
is-string,1.1.1,MIT,development
is-symbol,1.1.1,MIT,development
is-typed-array,1.1.15,MIT,development
is-weakmap,2.0.2,MIT,development
is-weakref,1.1.1,MIT,development
is-weakset,2.0.4,MIT,development
isarray,2.0.5,MIT,development
isexe,2.0.0,ISC,development
iterator.prototype,1.1.5,MIT,development
jest-worker,27.5.1,MIT,development
jiti,2.7.0,MIT,development
js-tokens,4.0.0,MIT,development
js-tokens,9.0.1,MIT,development
js-yaml,4.1.1,MIT,development
jsesc,3.1.0,MIT,development
json-buffer,3.0.1,MIT,development
json-schema-traverse,0.4.1,MIT,development
json-schema-traverse,0.4.1,MIT,development
json-schema-traverse,1.0.0,MIT,runtime
json-stable-stringify-without-jsonify,1.0.1,MIT,development
json5,1.0.2,MIT,development
json5,2.2.3,MIT,development
jsx-ast-utils,3.3.5,MIT,development
keyv,4.5.4,MIT,development
kleur,4.1.5,MIT,development
language-subtag-registry,0.3.23,CC0-1.0,development
language-tags,1.0.9,MIT,development
levn,0.4.1,MIT,development
lightningcss,1.31.1,MPL-2.0,development
lightningcss,1.32.0,MPL-2.0,development
lightningcss-darwin-arm64,1.31.1,MPL-2.0,development
lightningcss-darwin-arm64,1.32.0,MPL-2.0,development
linebreak,1.1.0,MIT,development
loader-runner,4.3.2,MIT,development
locate-path,6.0.0,MIT,development
lodash.merge,4.6.2,MIT,development
loose-envify,1.4.0,MIT,development
lru-cache,5.1.1,ISC,development
lucide-react,1.31.0,ISC,runtime
magic-string,0.30.21,MIT,development
math-intrinsics,1.1.0,MIT,development
merge-stream,2.0.0,MIT,development
merge2,1.4.1,MIT,development
micromatch,4.0.8,MIT,development
mime-db,1.54.0,MIT,development
miniflare,4.20260515.0,MIT,development
minimatch,10.2.5,BlueOak-1.0.0,development
minimatch,3.1.5,ISC,development
minimist,1.2.8,MIT,development
ms,2.1.3,MIT,development
nanoid,3.3.18,MIT,runtime
napi-postinstall,0.3.4,MIT,development
natural-compare,1.4.0,MIT,development
neo-async,2.6.2,MIT,development
next,16.3.4,MIT,runtime
next-themes,0.4.6,MIT,runtime
node-exports-info,1.6.0,MIT,development
node-releases,2.0.44,MIT,development
object-assign,4.1.1,MIT,development
object-inspect,1.13.4,MIT,development
object-keys,1.1.1,MIT,development
object.assign,4.1.7,MIT,development
object.entries,1.1.9,MIT,development
object.fromentries,2.0.8,MIT,development
object.groupby,1.0.3,MIT,development
object.values,1.2.1,MIT,development
optionator,0.9.4,MIT,development
own-keys,1.0.1,MIT,development
p-limit,3.1.0,MIT,development
p-locate,5.0.0,MIT,development
pako,0.2.9,MIT,development
parent-module,1.0.1,MIT,development
parse-css-color,0.2.1,MIT,development
path-exists,4.0.0,MIT,development
path-key,3.1.1,MIT,development
path-parse,1.0.7,MIT,development
path-to-regexp,6.3.0,MIT,development
pathe,2.0.3,MIT,development
picocolors,1.1.1,ISC,runtime
picomatch,2.3.2,MIT,development
picomatch,4.0.4,MIT,development
picomatch,4.0.4,MIT,development
possible-typed-array-names,1.1.0,MIT,development
postcss,8.5.23,MIT,runtime
postcss-value-parser,4.2.0,MIT,development
prelude-ls,1.2.1,MIT,development
prop-types,15.8.1,MIT,development
punycode,2.3.1,MIT,development
queue-microtask,1.2.3,MIT,development
radix-ui,1.6.7,MIT,runtime
react,19.2.6,MIT,runtime
react-day-picker,10.0.1,MIT,runtime
react-dom,19.2.6,MIT,runtime
react-hook-form,7.85.0,MIT,runtime
react-is,16.13.1,MIT,runtime
react-redux,9.3.0,MIT,runtime
react-remove-scroll,2.7.2,MIT,runtime
react-remove-scroll-bar,2.3.8,MIT,runtime
react-resizable-panels,4.12.2,MIT,runtime
react-server-dom-webpack,19.2.6,MIT,development
react-style-singleton,2.2.3,MIT,runtime
recharts,3.8.0,MIT,runtime
redux,5.0.1,MIT,runtime
redux-thunk,3.1.0,MIT,runtime
reflect.getprototypeof,1.0.10,MIT,development
regexp.prototype.flags,1.5.4,MIT,development
require-from-string,2.0.2,MIT,runtime
reselect,5.1.1,MIT,runtime
reselect,5.2.0,MIT,runtime
resolve,2.0.0-next.7,MIT,development
resolve-from,4.0.0,MIT,development
resolve-pkg-maps,1.0.0,MIT,development
reusify,1.1.0,MIT,development
rolldown,1.0.1,MIT,development
run-parallel,1.2.0,MIT,development
safe-array-concat,1.1.4,MIT,development
safe-push-apply,1.0.0,MIT,development
safe-regex-test,1.1.0,MIT,development
satori,0.16.0,MPL-2.0,development
scheduler,0.27.0,MIT,runtime
schema-utils,4.3.3,MIT,development
semver,6.3.1,ISC,development
semver,7.8.0,ISC,development
semver,7.8.0,ISC,development
semver,7.8.5,ISC,runtime
set-function-length,1.2.2,MIT,development
set-function-name,2.0.2,MIT,development
set-proto,1.0.0,MIT,development
sharp,0.35.4,Apache-2.0,runtime
shebang-command,2.0.0,MIT,development
shebang-regex,3.0.0,MIT,development
side-channel,1.1.0,MIT,development
side-channel-list,1.0.1,MIT,development
side-channel-map,1.0.1,MIT,development
side-channel-weakmap,1.0.2,MIT,development
sonner,2.0.8,MIT,runtime
source-map,0.6.1,BSD-3-Clause,development
source-map-js,1.2.1,BSD-3-Clause,runtime
source-map-support,0.5.21,MIT,development
srvx,0.11.15,MIT,development
stable-hash,0.0.5,MIT,development
stop-iteration-iterator,1.1.0,MIT,development
string.prototype.codepointat,0.2.1,MIT,development
string.prototype.includes,2.0.1,MIT,development
string.prototype.matchall,4.0.12,MIT,development
string.prototype.repeat,1.0.0,MIT,development
string.prototype.trim,1.2.10,MIT,development
string.prototype.trimend,1.0.9,MIT,development
string.prototype.trimstart,1.0.8,MIT,development
strip-bom,3.0.0,MIT,development
strip-json-comments,3.1.1,MIT,development
strip-literal,3.1.0,MIT,development
styled-jsx,5.1.6,MIT,runtime
supports-color,10.2.2,MIT,development
supports-color,7.2.0,MIT,development
supports-color,8.1.1,MIT,development
supports-preserve-symlinks-flag,1.0.0,MIT,development
tailwind-merge,3.6.0,MIT,runtime
tailwindcss,4.2.1,MIT,development
tapable,2.3.3,MIT,development
terser,5.47.1,BSD-2-Clause,development
terser-webpack-plugin,5.6.0,MIT,development
tiny-inflate,1.0.3,MIT,development
tiny-invariant,1.3.3,MIT,runtime
tinyglobby,0.2.16,MIT,development
to-regex-range,5.0.1,MIT,development
ts-api-utils,2.5.0,MIT,development
tsconfig-paths,3.15.0,MIT,development
tslib,2.8.1,0BSD,runtime
tsx,4.22.1,MIT,development
turbo-stream,3.2.0,MIT,development
tw-animate-css,1.4.0,MIT,development
type-check,0.4.0,MIT,development
typed-array-buffer,1.0.3,MIT,development
typed-array-byte-length,1.0.3,MIT,development
typed-array-byte-offset,1.0.4,MIT,development
typed-array-length,1.0.7,MIT,development
typescript,5.9.3,Apache-2.0,development
typescript-eslint,8.59.3,MIT,development
